bbref_id,season,Name,Age,Level,Team,G,PA,AB,R,H,X1B,X2B,X3B,HR,RBI,BB,IBB,uBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
ozunama01,2020,Marcell Ozuna,29,Maj-NL,Atlanta,60,267,228,38,77,45,14,0,18,56,38,3,35,60,0,0,1,3,0,0,0.338,0.431,0.636,1.067
lindofr01,2020,Francisco Lindor,26,Maj-AL,Cleveland,60,266,236,30,61,40,13,0,8,27,24,2,22,41,4,0,2,8,6,2,0.259,0.335,0.415,0.75
biggica01,2020,Cavan Biggio,25,Maj-AL,Toronto,59,265,220,41,55,31,16,0,8,28,41,0,41,61,3,0,0,2,6,0,0.25,0.375,0.432,0.807
merriwh01,2020,Whit Merrifield,31,Maj-AL,Kansas City,60,265,248,38,70,49,12,0,9,30,12,0,12,33,4,0,1,3,12,1,0.282,0.325,0.44,0.764
swansda01,2020,Dansby Swanson,26,Maj-NL,Atlanta,60,264,237,49,65,40,15,0,10,35,22,0,22,71,4,0,1,0,5,0,0.274,0.345,0.464,0.809
freemfr01,2020,Freddie Freeman,30,Maj-NL,Atlanta,60,262,214,51,73,36,23,1,13,53,45,7,38,37,3,0,0,6,2,0,0.341,0.462,0.64,1.102
abreujo02,2020,José Abreu,33,Maj-AL,Chicago,60,262,240,43,76,42,15,0,19,60,18,1,17,59,3,0,1,10,0,0,0.317,0.37,0.617,0.987
hernace02,2020,César Hernández,30,Maj-AL,Cleveland,58,261,233,35,66,43,20,0,3,20,24,0,24,57,2,1,0,3,0,0,0.283,0.355,0.408,0.763
turnetr01,2020,Trea Turner,27,Maj-NL,Washington,59,259,233,46,78,47,15,4,12,41,22,0,22,36,2,0,2,5,12,4,0.335,0.394,0.588,0.982
storytr01,2020,Trevor Story,27,Maj-NL,Colorado,59,259,235,41,68,40,13,4,11,28,24,1,23,63,0,0,0,5,15,3,0.289,0.355,0.519,0.874
tatisfe02,2020,Fernando Tatis Jr.,21,Maj-NL,San Diego,59,257,224,50,62,32,11,2,17,45,27,1,26,61,5,0,1,6,11,3,0.277,0.366,0.571,0.937
santaca01,2020,Carlos Santana,34,Maj-AL,Cleveland,60,255,206,34,41,26,7,0,8,30,47,1,46,43,1,0,1,5,0,0,0.199,0.349,0.35,0.699
ramirjo01,2020,José Ramírez,27,Maj-AL,Cleveland,58,254,219,45,64,30,16,1,17,46,31,0,31,43,3,0,1,2,10,3,0.292,0.386,0.607,0.993
machama01,2020,Manny Machado,27,Maj-NL,San Diego,60,254,224,44,68,39,12,1,16,47,26,4,22,37,0,0,4,9,6,3,0.304,0.37,0.58,0.951
grishtr01,2020,Trent Grisham,23,Maj-NL,San Diego,59,252,215,42,54,33,8,3,10,26,31,0,31,64,3,1,1,1,10,1,0.251,0.352,0.456,0.808
martest01,2020,Starling Marte,31,Maj-NL,"Arizona,Miami",61,250,228,36,64,43,14,1,6,27,12,1,11,41,9,0,1,5,10,2,0.281,0.34,0.43,0.77
deverra01,2020,Rafael Devers,23,Maj-AL,Boston,57,248,232,32,61,33,16,1,11,43,13,0,13,67,3,0,0,8,0,0,0.263,0.311,0.483,0.793
seageky01,2020,Kyle Seager,32,Maj-AL,Seattle,60,248,203,35,49,28,12,0,9,40,32,3,29,33,7,0,6,4,5,0,0.241,0.355,0.434,0.788
muncyma01,2020,Max Muncy,29,Maj-NL,Los Angeles,58,248,203,36,39,23,4,0,12,27,39,2,37,60,4,0,2,3,1,0,0.192,0.331,0.389,0.72
blackch02,2020,Charlie Blackmon,33,Maj-NL,Colorado,59,247,221,31,67,48,12,1,6,42,19,4,15,44,2,0,5,4,2,1,0.303,0.356,0.448,0.804
yelicch01,2020,Christian Yelich,28,Maj-NL,Milwaukee,58,247,200,39,41,21,7,1,12,22,46,2,44,76,1,0,0,4,4,2,0.205,0.356,0.43,0.786
bettsmo01,2020,Mookie Betts,27,Maj-NL,Los Angeles,55,246,219,47,64,38,9,1,16,39,24,1,23,38,2,0,1,2,10,1,0.292,0.366,0.562,0.928
hiurake01,2020,Keston Hiura,23,Maj-NL,Milwaukee,59,246,217,30,46,29,4,0,13,32,16,2,14,85,11,0,2,7,3,2,0.212,0.297,0.41,0.707
olsonma02,2020,Matt Olson,26,Maj-AL,Oakland,60,245,210,28,41,22,4,1,14,42,34,2,32,77,1,0,0,2,1,0,0.195,0.31,0.424,0.734
harpebr03,2020,Bryce Harper,27,Maj-NL,Philadelphia,58,244,190,41,51,27,9,2,13,33,49,8,41,43,2,1,2,5,8,1,0.268,0.42,0.542,0.962
