bbref_id,season,Name,Age,Level,Team,G,PA,AB,R,H,X1B,X2B,X3B,HR,RBI,BB,IBB,uBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
vientma01,2022,Mark Vientos,22,Maj-NL,New York,16,41,36,3,6,4,1,0,1,3,5,0,5,12,0,0,0,1,0,0,0.167,0.268,0.278,0.546
gonzaer01,2022,Erik González,30,Maj-NL,Miami,16,41,37,4,7,6,1,0,0,3,4,0,4,12,0,0,0,1,1,0,0.189,0.268,0.216,0.485
downsje01,2022,Jeter Downs,23,Maj-AL,Boston,14,41,39,4,6,4,1,0,1,4,1,0,1,21,0,0,1,0,0,0,0.154,0.171,0.256,0.427
nunezdo01,2022,Dom Nuñez,27,Maj-NL,Colorado,14,41,33,3,4,3,1,0,0,2,6,0,6,10,0,0,2,0,0,0,0.121,0.244,0.152,0.395
arauzjo01,2022,Jonathan Araúz,23,Maj-AL,"Baltimore,Boston",15,41,38,3,5,4,0,0,1,5,1,0,1,12,0,1,1,0,0,0,0.132,0.15,0.211,0.361
wallach01,2022,Chad Wallach,30,Maj-AL,Los Angeles,12,40,35,3,5,3,1,0,1,4,4,0,4,9,0,1,0,1,0,0,0.143,0.231,0.257,0.488
brinsle01,2022,Lewis Brinson,28,Maj-NL,San Francisco,16,39,36,5,6,1,2,0,3,4,2,0,2,14,0,1,0,0,1,0,0.167,0.211,0.472,0.683
baeji01,2022,Ji Hwan Bae,22,Maj-NL,Pittsburgh,10,37,33,5,11,8,3,0,0,6,2,0,2,6,2,0,0,0,3,0,0.333,0.405,0.424,0.83
almonab01,2022,Abraham Almonte,33,Maj-AL,Boston,15,37,35,7,9,6,2,0,1,2,1,0,1,12,1,0,0,1,1,0,0.257,0.297,0.4,0.697
davidma02,2022,Matt Davidson,31,"Maj-AL,Maj-NL","Arizona,Oakland",13,37,34,3,5,3,0,0,2,3,3,0,3,13,0,0,0,0,0,1,0.147,0.216,0.324,0.54
ruizes01,2022,Esteury Ruiz,23,Maj-NL,"Milwaukee,San Diego",17,36,35,3,6,4,1,1,0,2,1,0,1,7,0,0,0,0,1,2,0.171,0.194,0.257,0.452
dickeal01,2022,Alex Dickerson,32,Maj-NL,Atlanta,12,36,33,3,4,3,0,0,1,2,3,0,3,9,0,0,0,3,0,0,0.121,0.194,0.212,0.407
rookebr01,2022,Brent Rooker,27,"Maj-AL,Maj-NL","Kansas City,San Diego",16,36,32,1,4,3,1,0,0,2,3,0,3,11,1,0,0,2,0,0,0.125,0.222,0.156,0.379
sosale01,2022,Lenyn Sosa,22,Maj-AL,Chicago,11,36,35,3,4,2,1,0,1,1,1,0,1,12,0,0,0,2,0,0,0.114,0.139,0.229,0.368
tovarez01,2022,Ezequiel Tovar,20,Maj-NL,Colorado,9,35,33,2,7,5,1,0,1,2,2,0,2,9,0,0,0,0,0,0,0.212,0.257,0.333,0.59
henrypa01,2022,Payton Henry,25,Maj-NL,Miami,15,35,28,2,4,4,0,0,0,4,5,0,5,8,2,0,0,0,0,0,0.143,0.314,0.143,0.457
hernael02,2022,Elier Hernandez,27,Maj-AL,Texas,14,35,33,4,6,4,2,0,0,3,1,0,1,15,0,0,1,1,0,0,0.182,0.2,0.242,0.442
flories01,2022,Estevan Florial,24,Maj-AL,New York,17,35,31,4,3,3,0,0,0,1,3,0,3,13,1,0,0,0,2,0,0.097,0.2,0.097,0.297
henslda01,2022,David Hensley,26,Maj-AL,Houston,16,34,29,7,10,6,2,1,1,5,5,0,5,6,0,0,0,3,0,0,0.345,0.441,0.586,1.027
reksza01,2022,Zach Reks,28,Maj-AL,Texas,16,34,34,3,9,8,1,0,0,3,0,0,0,10,0,0,0,0,0,1,0.265,0.265,0.294,0.559
padloke01,2022,Kevin Padlo,25,"Maj-AL,Maj-NL","Pittsburgh,San Francisco,Seattle",13,34,33,0,4,3,1,0,0,3,1,0,1,10,0,0,0,2,0,0,0.121,0.147,0.152,0.299
martiri01,2022,Richie Martin,27,Maj-AL,Baltimore,13,33,30,4,5,3,0,2,0,3,3,0,3,10,0,0,0,0,3,1,0.167,0.242,0.3,0.542
gutieke01,2022,Kelvin Gutiérrez,27,Maj-AL,Baltimore,12,33,28,2,4,3,1,0,0,3,4,0,4,8,0,0,0,1,1,0,0.143,0.25,0.179,0.429
thomaco01,2022,Cody Thomas,27,Maj-AL,Oakland,10,32,30,1,8,8,0,0,0,0,2,0,2,12,0,0,0,0,0,0,0.267,0.313,0.267,0.579
plummni01,2022,Nick Plummer,25,Maj-NL,New York,14,31,29,4,4,1,1,0,2,6,1,0,1,12,1,0,0,1,0,0,0.138,0.194,0.379,0.573
riverse01,2022,Sebastián Rivero,23,Maj-AL,Kansas City,17,29,26,2,4,4,0,0,0,1,2,0,2,10,0,1,0,0,0,0,0.154,0.214,0.154,0.368
guthrda01,2022,Dalton Guthrie,26,Maj-NL,Philadelphia,14,28,21,3,7,6,0,0,1,5,6,0,6,7,1,0,0,0,1,0,0.333,0.5,0.476,0.976
hernayo02,2022,Yonny Hernández,24,Maj-NL,Arizona,12,28,24,2,2,2,0,0,0,0,2,0,2,4,0,2,0,0,2,0,0.083,0.154,0.083,0.237
foxlu01,2022,Lucius Fox,24,Maj-NL,Washington,9,28,25,2,2,2,0,0,0,2,1,0,1,9,0,2,0,1,1,0,0.08,0.115,0.08,0.195
davisja03,2022,Jaylin Davis,27,Maj-AL,Boston,12,27,24,4,8,7,1,0,0,2,3,0,3,11,0,0,0,0,0,0,0.333,0.407,0.375,0.782
schroma01,2022,Max Schrock,27,Maj-NL,Cincinnati,13,27,26,1,4,4,0,0,0,1,1,0,1,6,0,0,0,0,0,0,0.154,0.185,0.154,0.339
alvared01,2022,Eddy Alvarez,32,Maj-NL,Los Angeles,14,27,25,1,4,4,0,0,0,3,0,0,0,9,0,1,1,1,1,0,0.16,0.154,0.16,0.314
leeko01,2022,Korey Lee,23,Maj-AL,Houston,12,26,25,1,4,2,2,0,0,4,1,0,1,9,0,0,0,1,0,0,0.16,0.192,0.24,0.432
aguilry01,2022,Ryan Aguilar,27,Maj-AL,Los Angeles,7,26,22,2,3,2,1,0,0,2,2,0,2,14,1,0,1,0,0,0,0.136,0.231,0.182,0.413
haselad01,2022,Adam Haseley,26,Maj-AL,Chicago,14,25,21,4,5,5,0,0,0,2,3,0,3,7,0,1,0,0,0,0,0.238,0.333,0.238,0.571
deluzbe01,2022,Ben DeLuzio,27,Maj-NL,St. Louis,22,25,20,3,3,2,1,0,0,0,3,0,3,5,1,1,0,0,0,1,0.15,0.292,0.2,0.492
paytoma01,2022,Mark Payton,30,Maj-AL,Chicago,8,25,21,3,3,3,0,0,0,1,4,0,4,4,0,0,0,0,0,0,0.143,0.28,0.143,0.423
beckhti01,2022,Tim Beckham,32,Maj-AL,Minnesota,12,25,25,1,2,2,0,0,0,1,0,0,0,9,0,0,0,2,0,0,0.08,0.08,0.08,0.16
