bbref_id,season,Name,Age,Level,Team,G,PA,AB,R,H,X1B,X2B,X3B,HR,RBI,BB,IBB,uBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
semiema01,2021,Marcus Semien,30,Maj-AL,Toronto,162,724,652,115,173,87,39,2,45,102,66,0,66,146,3,0,3,9,15,1,0.265,0.334,0.538,0.873
merriwh01,2021,Whit Merrifield,32,Maj-AL,Kansas City,162,720,664,97,184,129,42,3,10,74,40,1,39,103,4,0,12,12,40,4,0.277,0.317,0.395,0.711
guerrvl02,2021,Vladimir Guerrero Jr.,22,Maj-AL,Toronto,161,698,604,123,188,110,29,1,48,111,86,7,79,110,6,0,2,20,4,1,0.311,0.401,0.601,1.002
freemfr01,2021,Freddie Freeman,31,Maj-NL,Atlanta,159,695,600,120,180,122,25,2,31,83,85,15,70,107,8,0,2,11,8,3,0.3,0.393,0.503,0.896
hanigmi01,2021,Mitch Haniger,30,Maj-AL,Seattle,157,691,620,110,157,93,23,2,39,100,54,2,52,169,9,0,8,12,1,0,0.253,0.318,0.486,0.804
edmanto01,2021,Tommy Edman,26,Maj-NL,St. Louis,159,691,641,91,168,113,41,3,11,56,38,1,37,95,6,2,4,4,30,5,0.262,0.308,0.387,0.695
bichebo01,2021,Bo Bichette,23,Maj-AL,Toronto,159,690,640,121,191,131,30,1,29,102,40,0,40,137,6,0,4,10,25,1,0.298,0.344,0.484,0.828
crawfjp01,2021,J.P. Crawford,26,Maj-AL,Seattle,160,687,619,89,169,123,37,0,9,54,58,1,57,114,5,1,4,10,3,6,0.273,0.338,0.376,0.715
albieoz01,2021,Ozzie Albies,24,Maj-NL,Atlanta,156,686,629,103,163,86,40,7,30,106,47,2,45,128,3,0,7,4,20,4,0.259,0.311,0.488,0.799
goldspa01,2021,Paul Goldschmidt,33,Maj-NL,St. Louis,158,679,603,102,177,108,36,2,31,99,67,2,65,136,4,0,5,13,12,0,0.294,0.365,0.514,0.879
lemahdj01,2021,DJ LeMahieu,32,Maj-AL,New York,150,679,597,84,160,125,24,1,10,57,73,2,71,94,4,0,5,16,4,2,0.268,0.349,0.362,0.711
altuvjo01,2021,Jose Altuve,31,Maj-AL,Houston,146,678,601,117,167,103,32,1,31,83,66,3,63,91,4,1,6,9,5,3,0.278,0.35,0.489,0.839
kineris01,2021,Isiah Kiner-Falefa,26,Maj-AL,Texas,158,677,635,74,172,136,25,3,8,53,28,2,26,90,11,1,2,11,20,5,0.271,0.312,0.358,0.67
mullice01,2021,Cedric Mullins,26,Maj-AL,Baltimore,159,675,602,91,175,103,37,5,30,59,59,3,56,125,8,1,4,2,30,8,0.291,0.36,0.518,0.878
schoojo01,2021,Jonathan Schoop,29,Maj-AL,Detroit,156,674,623,85,173,120,30,1,22,84,37,0,37,133,6,0,8,15,2,0,0.278,0.321,0.435,0.756
olsonma02,2021,Matt Olson,27,Maj-AL,Oakland,156,673,565,101,153,79,35,0,39,111,88,12,76,113,9,0,11,17,4,1,0.271,0.372,0.54,0.911
grossro01,2021,Robbie Grossman,31,Maj-AL,Detroit,156,671,557,88,133,84,23,3,23,67,98,3,95,155,8,2,6,8,20,5,0.239,0.357,0.415,0.772
seageky01,2021,Kyle Seager,33,Maj-AL,Seattle,159,670,603,73,128,63,29,1,35,101,59,2,57,161,4,0,4,7,3,1,0.212,0.285,0.438,0.723
perezsa02,2021,Salvador Perez,31,Maj-AL,Kansas City,161,665,620,88,169,97,24,0,48,121,28,4,24,170,13,0,4,14,1,0,0.273,0.316,0.544,0.859
fletcda02,2021,David Fletcher,27,Maj-AL,Los Angeles,157,665,626,74,164,132,27,3,2,47,31,1,30,60,1,6,1,10,15,3,0.262,0.297,0.324,0.622
deverra01,2021,Rafael Devers,24,Maj-AL,Boston,156,664,591,101,165,89,37,1,38,113,62,7,55,143,7,0,4,13,5,5,0.279,0.352,0.538,0.891
rileyau01,2021,Austin Riley,24,Maj-NL,Atlanta,160,662,590,91,179,112,33,1,33,107,52,2,50,168,12,0,8,11,0,1,0.303,0.367,0.531,0.898
abreujo02,2021,José Abreu,34,Maj-AL,Chicago,152,659,566,86,148,86,30,2,30,117,61,3,58,143,22,0,10,28,1,0,0.262,0.351,0.481,0.831
santaca01,2021,Carlos Santana,35,Maj-AL,Kansas City,158,659,565,66,121,87,15,0,19,69,86,3,83,102,3,0,5,12,2,0,0.214,0.319,0.342,0.66
sotoju01,2021,Juan Soto,22,Maj-NL,Washington,151,654,502,111,157,106,20,2,29,95,145,23,122,93,2,0,5,23,9,7,0.313,0.465,0.534,0.999
arenano01,2021,Nolan Arenado,30,Maj-NL,St. Louis,157,653,593,81,151,80,34,3,34,105,50,8,42,96,3,0,7,20,2,0,0.255,0.312,0.494,0.807
swansda01,2021,Dansby Swanson,27,Maj-NL,Atlanta,160,653,588,78,146,84,33,2,27,88,52,4,48,167,5,1,7,7,9,3,0.248,0.311,0.449,0.76
francty01,2021,Ty France,26,Maj-AL,Seattle,152,650,571,85,166,115,32,1,18,73,46,1,45,106,27,0,6,13,0,0,0.291,0.368,0.445,0.813
reynobr01,2021,Bryan Reynolds,26,Maj-NL,Pittsburgh,159,646,559,93,169,102,35,8,24,90,75,9,66,119,8,0,4,10,5,2,0.302,0.39,0.522,0.913
turnetr01,2021,Trea Turner,28,Maj-NL,"Los Angeles,Washington",148,646,595,107,195,130,34,3,28,77,41,2,39,110,6,0,4,18,32,5,0.328,0.375,0.536,0.911
polanjo01,2021,Jorge Polanco,27,Maj-AL,Minnesota,152,644,588,97,158,88,35,2,33,98,45,0,45,118,5,0,6,4,11,6,0.269,0.323,0.503,0.826
croneja01,2021,Jake Cronenworth,27,Maj-NL,San Diego,152,643,567,94,151,90,33,7,21,71,55,6,49,90,10,3,3,8,4,3,0.266,0.34,0.46,0.801
lowena01,2021,Nathaniel Lowe,25,Maj-AL,Texas,157,642,557,75,147,102,24,3,18,72,80,2,78,162,2,0,3,13,8,0,0.264,0.357,0.415,0.771
correca01,2021,Carlos Correa,26,Maj-AL,Houston,148,640,555,104,155,94,34,1,26,92,75,2,73,116,4,0,6,16,0,0,0.279,0.366,0.485,0.85
machama01,2021,Manny Machado,28,Maj-NL,San Diego,153,640,564,92,157,96,31,2,28,106,63,10,53,102,2,0,11,10,12,3,0.278,0.347,0.489,0.836
ohtansh01,2021,Shohei Ohtani,26,Maj-AL,Los Angeles,155,639,537,103,138,58,26,8,46,100,96,20,76,189,4,0,2,7,26,10,0.257,0.373,0.592,0.965
fraziad01,2021,Adam Frazier,29,Maj-NL,"Pittsburgh,San Diego",155,639,577,83,176,130,36,5,5,43,48,2,46,69,10,3,1,10,10,5,0.305,0.368,0.411,0.779
strawmy01,2021,Myles Straw,26,Maj-AL,"Cleveland,Houston",158,638,564,86,153,119,29,1,4,48,67,0,67,121,2,1,4,13,30,6,0.271,0.349,0.348,0.696
alonspe01,2021,Pete Alonso,26,Maj-NL,New York,152,637,561,81,147,80,27,3,37,94,60,6,54,127,12,0,4,20,3,0,0.262,0.344,0.519,0.863
hernace02,2021,César Hernández,31,Maj-AL,"Chicago,Cleveland",149,637,570,84,132,88,21,2,21,62,59,2,57,135,5,0,3,11,1,1,0.232,0.308,0.386,0.694
ramirjo01,2021,José Ramírez,28,Maj-AL,Cleveland,152,636,552,111,147,74,32,5,36,103,72,10,62,87,7,0,5,13,27,4,0.266,0.355,0.538,0.893
martijd02,2021,J.D. Martinez,33,Maj-AL,Boston,148,634,570,92,163,90,42,3,28,99,55,6,49,150,3,0,5,18,0,0,0.286,0.349,0.518,0.867
judgeaa01,2021,Aaron Judge,29,Maj-AL,New York,148,633,550,89,158,95,24,0,39,98,75,2,73,158,3,0,5,16,6,1,0.287,0.373,0.544,0.916
indiajo01,2021,Jonathan India,24,Maj-NL,Cincinnati,150,631,532,98,143,86,34,2,21,69,71,1,70,141,23,1,4,13,12,3,0.269,0.376,0.459,0.835
candeje01,2021,Jeimer Candelario,27,Maj-AL,Detroit,149,626,557,75,151,90,42,3,16,67,65,1,64,135,4,0,0,10,0,0,0.271,0.351,0.443,0.795
canhama01,2021,Mark Canha,32,Maj-AL,Oakland,141,625,519,93,120,77,22,4,17,61,77,0,77,128,27,0,2,9,12,2,0.231,0.358,0.387,0.746
garciad02,2021,Adolis García,28,Maj-AL,Texas,149,622,581,77,141,82,26,2,31,90,32,0,32,194,5,0,4,15,16,5,0.243,0.286,0.454,0.741
chapmma01,2021,Matt Chapman,28,Maj-AL,Oakland,151,622,529,75,111,66,15,3,27,72,80,0,80,202,4,0,9,6,3,2,0.21,0.314,0.403,0.716
carlsdy01,2021,Dylan Carlson,22,Maj-NL,St. Louis,149,619,542,79,144,91,31,4,18,65,57,2,55,152,11,1,8,5,2,1,0.266,0.343,0.437,0.78
gallojo01,2021,Joey Gallo,27,Maj-AL,"New York,Texas",153,616,498,90,99,47,13,1,38,77,111,5,106,213,6,0,1,6,6,0,0.199,0.351,0.458,0.808
moncayo01,2021,Yoán Moncada,26,Maj-AL,Chicago,144,616,520,74,137,89,33,1,14,61,84,1,83,157,10,0,2,6,3,2,0.264,0.375,0.412,0.787
mancitr01,2021,Trey Mancini,29,Maj-AL,Baltimore,147,616,556,77,142,87,33,1,21,71,51,4,47,143,8,0,1,19,0,0,0.255,0.326,0.432,0.758
lowebr01,2021,Brandon Lowe,26,Maj-AL,Tampa Bay,149,615,535,97,132,62,31,0,39,99,68,4,64,167,9,0,3,2,7,1,0.247,0.34,0.523,0.863
turneju01,2021,Justin Turner,36,Maj-NL,Los Angeles,151,612,533,87,148,99,22,0,27,87,61,0,61,98,12,0,6,12,3,0,0.278,0.361,0.471,0.832
gourryu01,2021,Yuli Gurriel,37,Maj-AL,Houston,143,605,530,83,169,123,31,0,15,81,59,2,57,68,4,0,12,16,1,1,0.319,0.384,0.462,0.846
arozara01,2021,Randy Arozarena,26,Maj-AL,Tampa Bay,141,604,529,94,145,90,32,3,20,69,56,4,52,170,14,0,5,9,20,10,0.274,0.356,0.459,0.815
verdual01,2021,Alex Verdugo,25,Maj-AL,Boston,146,604,544,88,157,110,32,2,13,63,51,6,45,96,4,0,5,11,6,2,0.289,0.351,0.427,0.778
bogaexa01,2021,Xander Bogaerts,28,Maj-AL,Boston,144,603,529,90,156,98,34,1,23,79,62,2,60,113,5,0,7,13,5,1,0.295,0.37,0.493,0.863
solerjo01,2021,Jorge Soler,29,"Maj-AL,Maj-NL","Atlanta,Kansas City",149,602,516,74,115,61,27,0,27,70,67,0,67,142,6,0,5,12,0,0,0.223,0.317,0.432,0.749
harpebr03,2021,Bryce Harper,28,Maj-NL,Philadelphia,141,599,488,101,151,73,42,1,35,84,100,14,86,134,5,2,4,12,13,3,0.309,0.429,0.615,1.044
escobed01,2021,Eduardo Escobar,32,Maj-NL,"Arizona,Milwaukee",146,599,549,77,139,80,26,5,28,90,48,1,47,124,1,0,1,3,1,0,0.253,0.314,0.472,0.786
alvaryo01,2021,Yordan Alvarez,24,Maj-AL,Houston,144,598,537,92,149,80,35,1,33,104,50,3,47,145,8,0,3,16,1,0,0.278,0.346,0.531,0.877
mcmahry01,2021,Ryan McMahon,26,Maj-NL,Colorado,151,596,528,80,134,78,32,1,23,86,59,2,57,147,4,0,5,14,6,2,0.254,0.331,0.449,0.779
hernate01,2021,Teoscar Hernández,28,Maj-AL,Toronto,143,595,550,92,163,102,29,0,32,116,36,1,35,148,7,0,2,5,12,4,0.296,0.346,0.524,0.87
storytr01,2021,Trevor Story,28,Maj-NL,Colorado,142,595,526,88,132,69,34,5,24,75,53,2,51,139,11,0,5,7,20,6,0.251,0.329,0.472,0.801
muncyma01,2021,Max Muncy,30,Maj-NL,Los Angeles,144,592,497,95,124,60,26,2,36,94,83,5,78,120,11,0,1,7,2,1,0.25,0.368,0.527,0.895
